program_id,program_name,qualified_program_name,begin_annotation_id,end_annotation_id
1,clean_event_date_workflow,clean_event_date_workflow,1,161
2,create_RunID_directory,clean_event_date_workflow.create_RunID_directory,14,20
3,copy_file,clean_event_date_workflow.copy_file,21,32
4,clean_event_date,clean_event_date_workflow.clean_event_date,33,160
5,initialize_run,clean_event_date_workflow.clean_event_date.initialize_run,48,54
6,read_data_records,clean_event_date_workflow.clean_event_date.read_data_records,55,71
7,check_if_date_is_nonempty,clean_event_date_workflow.clean_event_date.check_if_date_is_nonempty,72,84
8,log_date_is_empty,clean_event_date_workflow.clean_event_date.log_date_is_empty,85,96
9,check_ISO_date_compliant,clean_event_date_workflow.clean_event_date.check_ISO_date_compliant,97,110
10,update_event_date,clean_event_date_workflow.clean_event_date.update_event_date,111,121
11,log_accepted_record,clean_event_date_workflow.clean_event_date.log_accepted_record,122,135
12,write_data_into_file,clean_event_date_workflow.clean_event_date.write_data_into_file,136,147
13,log_summary,clean_event_date_workflow.clean_event_date.log_summary,148,159
14,timestamp,timestamp,162,165
