data_id,data_name,qualified_data_name
1,data_with_cleaned_names,[data_with_cleaned_names]
2,record_id_data,[record_id_data]
3,data_with_cleaned_names_and_dates,[data_with_cleaned_names_and_dates]
4,date_cleaning_log,[date_cleaning_log]
5,existing_RunID_structure,clean_event_date_workflow[existing_RunID_structure]
6,newly_created_RunID_directory,clean_event_date_workflow[newly_created_RunID_directory]
7,source_file_to_be_copied,clean_event_date_workflow[source_file_to_be_copied]
8,record_id_data,clean_event_date_workflow[record_id_data]
9,data_with_cleaned_names,clean_event_date_workflow[data_with_cleaned_names]
10,data_with_cleaned_names_and_dates,clean_event_date_workflow[data_with_cleaned_names_and_dates]
11,date_cleaning_log,clean_event_date_workflow[date_cleaning_log]
12,date_cleaning_log,clean_event_date_workflow.clean_event_date[date_cleaning_log]
13,data_with_cleaned_names,clean_event_date_workflow.clean_event_date[data_with_cleaned_names]
14,record_id_data,clean_event_date_workflow.clean_event_date[record_id_data]
15,eventDate,clean_event_date_workflow.clean_event_date[eventDate]
16,RecordID,clean_event_date_workflow.clean_event_date[RecordID]
17,other_fields,clean_event_date_workflow.clean_event_date[other_fields]
18,empty_eventDate,clean_event_date_workflow.clean_event_date[empty_eventDate]
19,nonEmpty_eventDate,clean_event_date_workflow.clean_event_date[nonEmpty_eventDate]
20,unable-to-validate_record_count,clean_event_date_workflow.clean_event_date[unable-to-validate_record_count]
21,compliant_eventDate,clean_event_date_workflow.clean_event_date[compliant_eventDate]
22,nonCompliant_eventDate,clean_event_date_workflow.clean_event_date[nonCompliant_eventDate]
23,updated_eventDate,clean_event_date_workflow.clean_event_date[updated_eventDate]
24,accepted_record_count,clean_event_date_workflow.clean_event_date[accepted_record_count]
25,data_with_cleaned_names_and_dates,clean_event_date_workflow.clean_event_date[data_with_cleaned_names_and_dates]
