channel_id,data_id
37,3
38,4
39,5
40,7
41,7
42,9
43,10
44,1
45,2
46,11
47,12
48,13
1,11
2,12
3,13
4,15
5,17
6,18
7,18
8,20
9,20
10,20
11,23
12,24
13,16
14,25
15,25
16,28
17,28
18,29
19,29
20,27
21,27
22,19
23,19
24,19
25,30
26,30
27,31
28,31
29,21
30,32
31,26
32,9
33,10
34,33
35,14
36,22
