block_id,port_id
1,3
1,4
1,5
2,7
3,10
3,11
4,15
4,16
4,17
5,18
6,20
7,22
7,23
7,24
7,25
7,26
7,27
8,29
8,30
8,31
9,34
9,35
9,36
10,39
10,40
10,41
10,42
10,43
11,47
11,48
12,52
13,56
14,60
15,63
15,64
16,70
17,73
