channel_id,data_id
22,3
23,4
24,6
25,6
26,9
27,8
28,1
29,2
30,10
31,11
1,10
2,11
3,13
4,14
5,15
6,15
7,16
8,16
9,18
10,19
11,22
12,23
13,23
14,21
15,17
16,24
17,20
18,9
19,8
20,25
21,12
