block_id,port_id
1,1
1,2
2,5
3,7
3,8
4,11
4,12
4,13
6,17
6,18
7,23
8,27
8,28
9,31
10,35
11,38
11,39
11,40
12,43
12,44
12,45
13,47
13,48
14,50
