block_id,port_id
1,3
1,4
2,6
3,9
3,10
4,14
4,15
5,16
6,19
6,20
6,21
6,22
7,24
7,25
7,26
8,29
8,30
9,32
9,33
9,34
10,36
10,37
11,41
11,42
12,46
13,49
